model,accuracy,f1,training_time
KNN,0.9182736455463728,0.9183299093896923,0.0008566379547119141
RF,0.918732782369146,0.9185224382757329,2.5844264030456543
XGB,0.9256198347107438,0.9256884304318598,0.49928927421569824
