k,delta,super_outliers,mean_neighbors
1.0,0.418689715676111,5614.0,2.5407577497129736
2.0,0.4988072264562791,4355.0,5.711366245694604
3.0,0.5481075903526456,3696.0,8.676004592422503
5.0,0.6103613017513878,2993.0,13.880826636050516
7.0,0.6585119835290419,2490.0,19.075315729047073
10.0,0.7093585225710766,2065.0,25.84385763490241
15.0,0.7713877240644533,1634.0,36.045694603903556
