model,reduction_method,mode,dimensions,max_dimension,percentage,k,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,PHL,vital,restrictedDim,0,0.3,5,0.29988518943742826,13.727648022127932,0.8856749311294766,0.8862639901016764,0.0005595684051513672,1.675046682357788
RF,PHL,vital,restrictedDim,0,0.3,5,0.29988518943742826,13.727648022127932,0.9058769513314968,0.906141397388605,0.539344310760498,1.675046682357788
XGB,PHL,vital,restrictedDim,0,0.3,5,0.29988518943742826,13.727648022127932,0.9049586776859504,0.9050666232403908,0.23737215995788574,1.675046682357788
KNN,PHL,vital,restrictedDim,0,0.5,5,0.5,13.727648022127932,0.9044995408631772,0.9045293181657864,0.0006372928619384766,1.6752865314483643
RF,PHL,vital,restrictedDim,0,0.5,5,0.5,13.727648022127932,0.9095500459136823,0.9095657679956055,0.9951484203338623,1.6752865314483643
XGB,PHL,vital,restrictedDim,0,0.5,5,0.5,13.727648022127932,0.911386593204775,0.9113395861591251,0.3016197681427002,1.6752865314483643
KNN,PHL,vital,restrictedDim,0,0.75,5,0.7499425947187142,13.727648022127932,0.9159779614325069,0.9159326907759089,0.0007226467132568359,1.6756172180175781
RF,PHL,vital,restrictedDim,0,0.75,5,0.7499425947187142,13.727648022127932,0.9123048668503214,0.9119698869805412,1.6836183071136475,1.6756172180175781
XGB,PHL,vital,restrictedDim,0,0.75,5,0.7499425947187142,13.727648022127932,0.9214876033057852,0.9212184592405488,0.386336088180542,1.6756172180175781
KNN,PHL,vital,restrictedDim,0,0.9,5,0.9001148105625718,10.839643468651897,0.9201101928374655,0.920100938057494,0.0007855892181396484,1.6757121086120605
RF,PHL,vital,restrictedDim,0,0.9,5,0.9001148105625718,10.839643468651897,0.918732782369146,0.9185140855981212,2.1673967838287354,1.6757121086120605
XGB,PHL,vital,restrictedDim,0,0.9,5,0.9001148105625718,10.839643468651897,0.9242424242424242,0.9241284708638893,0.4375486373901367,1.6757121086120605
KNN,PHL,representative,restrictedDim,0,0.05,7,0.04994259471871412,14.29219679406262,0.8746556473829201,0.8750051014014854,0.00046324729919433594,2.1464779376983643
RF,PHL,representative,restrictedDim,0,0.05,7,0.04994259471871412,14.29219679406262,0.8668503213957759,0.8673690372673395,0.1174471378326416,2.1464779376983643
XGB,PHL,representative,restrictedDim,0,0.05,7,0.04994259471871412,14.29219679406262,0.8820018365472911,0.88247755465819,0.10910415649414062,2.1464779376983643
KNN,PHL,representative,restrictedDim,0,0.1,7,0.1,14.29219679406262,0.8829201101928374,0.8831234371768938,0.0004887580871582031,2.146512985229492
RF,PHL,representative,restrictedDim,0,0.1,7,0.1,14.29219679406262,0.8898071625344353,0.8897648986200778,0.17832279205322266,2.146512985229492
XGB,PHL,representative,restrictedDim,0,0.1,7,0.1,14.29219679406262,0.8943985307621671,0.8944418725280021,0.12715673446655273,2.146512985229492
KNN,PHL,representative,restrictedDim,0,0.2,7,0.20011481056257174,14.29219679406262,0.8925619834710744,0.8927164408484792,0.0005133152008056641,2.1466658115386963
RF,PHL,representative,restrictedDim,0,0.2,7,0.20011481056257174,14.29219679406262,0.9012855831037649,0.9013046074348752,0.320925235748291,2.1466658115386963
XGB,PHL,representative,restrictedDim,0,0.2,7,0.20011481056257174,14.29219679406262,0.9054178145087236,0.9052827983018451,0.16048765182495117,2.1466658115386963
KNN,PHL,representative,restrictedDim,0,0.3,7,0.29988518943742826,14.29219679406262,0.8943985307621671,0.8946054802102588,0.0005424022674560547,2.1467947959899902
RF,PHL,representative,restrictedDim,0,0.3,7,0.29988518943742826,14.29219679406262,0.9072543617998163,0.9073875387568551,0.4864051342010498,2.1467947959899902
